Date,Price,Open,High,Low,Vol.,Change %
8/10/2026,139.83,140.5,140.5,139.2,296.72K,-0.48%
8/9/2026,140.5,140.51,140.99,139.86,586.90K,0.26%
8/6/2026,140.13,139.33,141,139.2,4.89M,0.70%
8/5/2026,139.15,140.5,141,139.05,3.66M,-0.77%
8/4/2026,140.23,141,141,139.3,3.61M,-0.48%
8/3/2026,140.9,142,142.1,139.8,4.12M,-0.42%
8/2/2026,141.5,142.49,142.49,140.86,893.18K,0.35%
7/30/2026,141,139.75,141,138.4,2.00M,0.50%
7/29/2026,140.3,141.94,142.88,140.3,2.70M,-0.67%
7/28/2026,141.25,140.01,142.55,139.71,4.61M,0.89%
7/27/2026,140,139,141.4,138.5,2.70M,0.94%
7/26/2026,138.7,139,140.3,138.5,613.57K,-0.93%
7/22/2026,140,139.9,140.3,138.7,3.97M,0.02%
7/21/2026,139.97,137,140.4,136.7,7.84M,2.47%
7/20/2026,136.6,134.17,136.95,133.81,5.39M,1.94%
7/19/2026,134,135.01,135.5,132.81,1.42M,-1.33%
7/16/2026,135.8,135.04,135.85,134.8,1.68M,0.73%
7/15/2026,134.81,135.7,136.44,134.55,1.84M,-0.12%
7/14/2026,134.97,135.04,137.2,134.01,2.82M,-1.41%
7/13/2026,136.9,134.55,136.98,134.5,2.43M,1.77%
7/12/2026,134.52,134.52,135.7,134,954.22K,0.01%
7/9/2026,134.5,133,135,133,1.88M,1.13%
7/8/2026,133,136.9,136.9,133,3.47M,-3.05%
7/7/2026,137.18,134.7,137.98,133.52,4.06M,1.99%
7/6/2026,134.5,130,134.5,129.72,5.28M,3.69%
7/5/2026,129.71,129.51,130,128.41,1.24M,1.89%
7/1/2026,127.3,128.02,128.45,127.25,2.46M,-0.16%
6/30/2026,127.5,127.01,129.94,126.89,4.16M,0.48%
6/29/2026,126.89,130.11,130.3,126.21,5.23M,-2.26%
6/28/2026,129.82,132.5,133,129.8,1.93M,-2.02%
6/25/2026,132.5,132.2,133,131.95,2.28M,0.30%
6/24/2026,132.1,133.6,133.6,132,3.04M,-1.05%
6/23/2026,133.5,136,136.2,133.5,3.70M,-1.69%
6/22/2026,135.8,136.98,136.99,135.75,3.87M,-0.66%
6/21/2026,136.7,136.9,137.07,136.02,956.67K,-0.22%
6/17/2026,137,134,137,133.54,9.83M,2.70%
6/16/2026,133.4,134,134.2,133.03,3.58M,-1.00%
6/15/2026,134.75,135,136.1,134.6,6.19M,-0.01%
6/14/2026,134.76,134.5,135.7,134.5,4.25M,2.33%
6/11/2026,131.69,130.5,132.16,130,3.64M,0.49%
6/10/2026,131.05,132.95,133.5,131,4.18M,-1.44%
6/9/2026,132.97,130.7,132.98,130.7,3.60M,2.21%
6/8/2026,130.1,131.8,132.2,129.8,5.54M,-1.73%
6/7/2026,132.39,131.9,132.45,131.3,1.37M,-0.08%
6/4/2026,132.5,132.05,132.6,131.3,2.74M,0.49%
6/3/2026,131.85,133.01,133.69,131.8,2.55M,-0.53%
6/2/2026,132.55,132.05,133.8,132.05,5.26M,0.61%
6/1/2026,131.75,135,135.5,131.67,9.83M,-0.94%
5/25/2026,133,136.25,136.8,133,15.55M,-2.21%
5/24/2026,136,132.5,136.49,132.5,3.58M,3.42%
5/21/2026,131.5,132.23,132.96,131.5,1.73M,-0.17%
5/20/2026,131.72,133.6,134,131.54,4.26M,-1.34%
5/19/2026,133.51,132,133.69,132,3.76M,1.52%
5/18/2026,131.51,133.05,133.6,131.51,3.09M,-1.12%
5/17/2026,133,134.19,134.4,133,2.26M,-1.12%
5/14/2026,134.51,136.27,136.4,134.35,4.85M,-1.43%
5/13/2026,136.46,139.99,139.99,135.35,7.48M,-2.54%
5/12/2026,140.01,143.32,144,139.25,9.33M,-2.09%
5/11/2026,143,143.55,144.93,142.7,5.22M,-0.36%
5/10/2026,143.51,142,143.51,141.75,1.47M,1.35%
5/6/2026,141.6,139.1,143,139.05,6.70M,2.46%
5/5/2026,138.2,135.11,138.3,133.6,3.88M,2.29%
5/4/2026,135.11,137,137.74,135.1,1.31M,-0.65%
5/3/2026,136,135.26,136.9,134.9,1.42M,0.74%
4/30/2026,135,138,138,135,3.21M,-2.17%
4/29/2026,138,137.45,138,136.7,2.05M,0.65%
4/28/2026,137.11,140,140,137.11,3.27M,-1.36%
4/27/2026,139,137.7,140.7,137.7,3.22M,1.02%
4/26/2026,137.6,138.1,138.25,137.1,733.37K,-0.29%
4/23/2026,138,136.34,139.1,136,2.95M,1.26%
4/22/2026,136.28,139.1,139.5,136.28,2.74M,-1.96%
4/21/2026,139,139.75,139.98,138.43,2.61M,-0.50%
4/20/2026,139.7,141.28,141.28,137.5,4.31M,-1.62%
4/19/2026,142,142.05,144,142,2.20M,1.43%
4/16/2026,140,138,140,138,12.29M,1.82%
4/15/2026,137.5,134.5,137.5,134.2,8.96M,2.62%
4/14/2026,133.99,130.12,134,130.12,4.80M,3.55%
4/12/2026,129.4,127.75,129.4,129.4,5.91M,0.00%
4/9/2026,129.4,127.45,130.98,126.4,5.91M,1.29%
4/8/2026,127.75,126.01,128.17,125.43,6.67M,4.71%
4/7/2026,122,122.5,123.5,122,4.58M,-4.51%
4/6/2026,127.76,127,128.5,126.4,3.13M,0.68%
4/5/2026,126.9,124.94,127,124.35,1.78M,2.34%
4/2/2026,124,123.46,125,122.1,2.44M,-0.63%
4/1/2026,124.79,125,126.3,123.21,7.53M,3.13%
3/31/2026,121,119.8,123.55,119.7,6.24M,1.01%
3/30/2026,119.79,123.8,124.7,119.5,5.40M,-3.08%
