ticker_id,Max Slots,L-14.6,L-23.6,L-38.2,L-50.0,L-61.8,Slots L-14.6,Slots L-23.6,Slots L-38.2,Slots L-50.0,Slots L-61.8,Use Smrt Index Exit,Exit Level,Use AYM,AYM TP Multiplier,AYM Limit,Use ATR,ATR Distance,Use Stoploss,Stoploss Level,Sys ROI,B&H ROI,ROI Margin,# of Trades,Win Rate,Max Drawdown,Avg. Adverse Excursion,Avg. Favorable Excursion,Annual CAGR,Avg. Return/Trade,Avg Bars/Trade
AALR,1,FALSE,FALSE,FALSE,TRUE,TRUE,null,null,null,1,1,FALSE,null,FALSE,null,null,TRUE,2,FALSE,null,14135.39,2958.44,11176.95,19,100.00,35.69,-13.25,63.29,111.75,35.22,36.3
ABUK,1,TRUE,FALSE,FALSE,TRUE,TRUE,1,null,null,1,1,FALSE,null,TRUE,2,50,FALSE,null,TRUE,4,908.71,254.39,654.31,30,73.33,29.62,-7.05,21.86,41.86,9.81,39.0
ACAMD,1,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,null,1,1,FALSE,null,TRUE,12,50,TRUE,4,TRUE,8,1458.03,323.79,1134.24,19,84.21,70.28,-16.90,48.74,51.51,22.98,77.3
ACAP,1,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,FALSE,null,TRUE,2,61.8,TRUE,5,FALSE,null,615.51,3097.13,-2481.62,6,100.00,23.75,-11.00,62.00,34.68,42.59,88.7
ACGC,1,FALSE,TRUE,TRUE,TRUE,TRUE,null,1,1,1,1,FALSE,null,FALSE,null,null,TRUE,5,TRUE,4,2141.95,657.04,1484.91,16,62.50,45.09,-9.41,64.10,60.09,35.96,91.5
ACTF,1,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,null,null,null,FALSE,null,TRUE,2,88.6,TRUE,6,FALSE,null,42.13,-26.60,68.73,6,100.00,12.00,-4.08,9.89,5.46,6.04,25.0
ADCI,1,FALSE,TRUE,TRUE,FALSE,FALSE,null,1,1,null,null,FALSE,null,FALSE,null,null,TRUE,5,FALSE,null,1738.95,1383.74,355.22,5,80.00,38.90,-12.43,130.62,55.36,113.50,280.2
ADIB,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,null,1,1,1,FALSE,null,TRUE,8,78.6,TRUE,6,TRUE,6,2802.18,1354.18,1448.00,19,84.21,32.11,-9.00,34.70,66.46,21.12,74.2
ADPC,1,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,1,null,null,FALSE,null,FALSE,null,null,TRUE,5,FALSE,null,176.70,46.96,129.74,6,83.33,80.17,-20.47,46.98,16.65,24.24,205.8
ADRI,1,TRUE,FALSE,TRUE,FALSE,FALSE,1,null,1,null,null,FALSE,null,TRUE,2,61.8,TRUE,2,FALSE,null,12694.60,2559.52,10135.08,23,95.65,53.06,-13.93,45.16,108.35,29.13,47.2
AFDI,1,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,null,1,1,FALSE,null,TRUE,4,78.6,TRUE,2,TRUE,5,6112.08,990.88,5121.20,40,82.50,49.42,-10.71,24.74,86.78,11.74,32.0
AFMC,1,TRUE,FALSE,TRUE,FALSE,FALSE,1,null,1,null,null,FALSE,null,TRUE,7,61.8,TRUE,5,TRUE,5,8740.72,2278.73,6461.98,14,85.71,49.35,-10.83,56.13,97.02,32.06,93.4
AIFI,1,FALSE,FALSE,FALSE,TRUE,TRUE,null,null,null,1,1,FALSE,null,FALSE,null,null,TRUE,6,FALSE,null,3716.03,2743.62,972.41,5,80.00,64.44,-21.54,229.82,73.50,165.14,284.8
AIH,1,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,1,null,null,FALSE,null,TRUE,10,78.6,FALSE,null,FALSE,null,825.23,210.30,614.93,6,100.00,59.39,-22.24,62.60,40.02,45.14,225.0
AJWA,1,TRUE,FALSE,FALSE,TRUE,TRUE,1,null,null,1,1,FALSE,null,FALSE,null,null,TRUE,4,TRUE,10,5998.95,927.75,5071.21,11,81.82,57.37,-15.29,111.77,86.26,65.50,114.8
ALCN,1,FALSE,TRUE,FALSE,FALSE,FALSE,null,1,null,null,null,FALSE,null,TRUE,12,61.8,TRUE,6,FALSE,null,1588.77,439.46,1149.31,11,90.91,43.57,-13.81,59.75,53.37,38.42,127.3
ALEX,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,null,1,1,1,FALSE,null,TRUE,2,88.6,TRUE,6,FALSE,null,668.05,325.53,342.52,6,83.33,52.20,-22.84,109.28,36.15,49.91,31.3
ALUM,1,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,null,null,null,FALSE,null,TRUE,2,61.8,TRUE,4,TRUE,5,6497.41,1351.04,5146.37,29,93.10,53.19,-10.07,35.13,88.49,18.66,38.4
AMER,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,null,1,1,1,FALSE,null,TRUE,2,78.6,FALSE,null,TRUE,5,3171.65,1457.90,1713.75,36,80.56,59.14,-10.97,21.41,69.51,8.99,33.2
AMES,1,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,FALSE,null,TRUE,12,50,TRUE,6,FALSE,null,13108.89,11005.73,2103.15,22,31.82,44.03,-7.75,47.42,109.36,29.71,55.5
AMIA,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,null,null,null,null,FALSE,null,FALSE,null,null,TRUE,5,TRUE,4,5855.94,1975.64,3880.30,10,80.00,61.23,-11.65,88.52,85.59,46.39,114.1
AMII,1,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,null,1,1,FALSE,null,TRUE,8,88.6,FALSE,null,TRUE,4,13158.08,2095.55,11062.53,24,66.67,57.13,-15.59,52.46,109.48,30.53,55.0
AMOC,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,null,1,1,1,FALSE,null,TRUE,4,88.6,TRUE,3,TRUE,8,597.10,158.24,438.86,26,84.62,45.19,-12.38,19.55,34.15,9.27,50.9
AMPI,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,null,1,1,1,FALSE,null,TRUE,9,61.8,TRUE,5,FALSE,null,2157.53,763.65,1393.87,7,85.71,68.90,-21.11,143.56,60.25,108.74,198.3
APPC,1,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,null,null,FALSE,null,TRUE,2,88.6,TRUE,4,FALSE,null,132.29,-17.65,149.93,4,75.00,43.86,-31.31,50.35,13.61,30.38,62.2
APSW,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,null,null,null,null,FALSE,null,FALSE,null,null,TRUE,3,FALSE,null,1791.16,300.46,1490.70,8,100.00,46.33,-10.67,89.33,56.02,60.26,129.4
ARAB,1,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,null,1,1,FALSE,null,TRUE,9,88.6,TRUE,3,FALSE,null,1165.22,456.36,708.86,15,93.33,60.43,-11.96,35.36,46.81,21.88,95.1
