ticker_id,Max Slots,L-14.6,L-23.6,L-38.2,L-50.0,L-61.8,Slots L-14.6,Slots L-23.6,Slots L-38.2,Slots L-50.0,Slots L-61.8,Use Smrt Index Exit,Exit Level,Use AYM,AYM TP Multiplier,AYM Limit,Use ATR,ATR Distance,Use Stoploss,Stoploss Level,Sys ROI,B&H ROI,ROI Margin,# of Trades,Win Rate,Max Drawdown,Avg. Adverse Excursion,Avg. Favorable Excursion,Annual CAGR,Avg. Return/Trade,Avg Bars/Trade
ABUK,1,TRUE,FALSE,FALSE,TRUE,TRUE,1,null,null,1,1,FALSE,null,TRUE,2,50,FALSE,null,TRUE,4,908.71,254.39,654.31,30,73.33,29.62,-7.05,21.86,41.86,9.81,39.0
ADIB,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,null,1,1,1,FALSE,null,TRUE,8,78.6,TRUE,6,TRUE,6,2802.18,1354.18,1448.00,19,84.21,32.11,-9.00,34.70,66.46,21.12,74.2
AMOC,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,null,1,1,1,FALSE,null,TRUE,4,88.6,TRUE,3,TRUE,8,597.10,158.24,438.86,26,84.62,45.19,-12.38,19.55,34.15,9.27,50.9
ARCC,1,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,null,1,1,FALSE,null,TRUE,7,88.6,TRUE,2,TRUE,4,5526.57,2223.40,3303.17,36,80.56,34.46,-10.47,25.87,84.00,13.15,33.8
BTFH,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,null,null,null,null,FALSE,null,TRUE,10,78.6,TRUE,6,FALSE,null,2690.08,274.91,2415.17,9,88.89,61.12,-21.88,89.00,65.47,64.69,130.8
CCAP,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,null,null,null,null,FALSE,null,TRUE,10,88.6,FALSE,null,TRUE,10,929.35,110.53,818.82,8,87.50,39.32,-18.21,48.78,42.30,37.68,139.6
COMI,1,FALSE,TRUE,FALSE,FALSE,FALSE,null,1,null,null,null,FALSE,null,TRUE,3,78.6,TRUE,2,TRUE,6,1196.06,269.07,926.99,30,83.33,21.05,-5.57,15.69,47.35,10.34,29.5
EAST,1,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,null,null,null,FALSE,null,TRUE,12,78.6,FALSE,null,TRUE,5,970.32,219.55,750.77,12,66.67,23.33,-8.79,37.86,43.14,26.99,118.0
EFID,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,null,null,null,null,FALSE,null,FALSE,null,null,TRUE,6,TRUE,4,885.24,320.71,564.53,7,71.43,28.67,-6.31,125.70,41.36,76.85,158.9
EFIH,1,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,null,null,null,FALSE,null,TRUE,2,50,TRUE,6,TRUE,4,436.29,376.80,59.49,14,85.71,34.41,-8.61,28.16,28.93,13.72,57.1
EGAL,1,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,null,1,1,FALSE,null,TRUE,6,88.6,TRUE,4,TRUE,8,9752.36,2212.40,7539.96,25,92.00,41.34,-10.46,31.47,100.28,21.93,51.2
EGCH,1,FALSE,TRUE,FALSE,TRUE,TRUE,null,1,null,1,1,FALSE,null,TRUE,3,88.6,TRUE,3,TRUE,6,1427.03,222.45,1204.58,28,92.86,27.33,-9.90,15.96,51.05,11.06,40.5
EMFD,1,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,null,null,FALSE,null,TRUE,2,61.8,TRUE,2,TRUE,4,674.11,317.54,356.56,42,78.57,41.52,-7.11,15.78,36.30,6.06,27.4
ETEL,1,TRUE,FALSE,FALSE,TRUE,TRUE,1,null,null,1,1,FALSE,null,TRUE,3,61.8,TRUE,4,TRUE,4,1920.55,989.21,931.35,27,81.48,25.94,-6.85,23.61,57.59,12.57,50.3
FWRY,1,TRUE,FALSE,FALSE,TRUE,TRUE,1,null,null,1,1,FALSE,null,TRUE,6,78.6,TRUE,6,TRUE,8,958.45,936.60,21.85,15,80.00,69.87,-11.29,42.14,42.90,25.13,80.0
GBCO,1,FALSE,TRUE,TRUE,FALSE,FALSE,null,1,1,null,null,FALSE,null,TRUE,11,88.6,TRUE,6,TRUE,4,3416.92,767.21,2649.71,17,70.59,50.77,-11.59,40.83,71.37,27.24,77.5
HELI,1,FALSE,TRUE,FALSE,FALSE,FALSE,null,1,null,null,null,FALSE,null,TRUE,2,61.8,TRUE,4,TRUE,4,1567.56,218.86,1348.70,28,85.71,29.39,-7.37,22.98,53.08,11.61,36.7
HRHO,1,TRUE,FALSE,TRUE,FALSE,FALSE,1,null,1,null,null,FALSE,null,TRUE,3,61.8,FALSE,null,TRUE,8,944.93,191.96,752.97,22,86.36,35.85,-9.36,21.99,42.62,12.97,52.2
ISPH,1,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,1,null,null,FALSE,null,TRUE,4,61.8,TRUE,3,TRUE,4,805.72,98.15,707.56,23,69.57,42.86,-11.01,30.89,39.57,12.76,44.7
JUFO,1,FALSE,TRUE,TRUE,TRUE,TRUE,null,1,1,1,1,FALSE,null,TRUE,9,88.6,TRUE,5,TRUE,4,1877.78,381.60,1496.17,28,67.86,34.30,-9.99,27.84,57.08,13.46,48.8
MCQE,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,null,1,1,1,FALSE,null,TRUE,9,78.6,TRUE,5,TRUE,4,11317.95,4179.31,7138.64,20,70.00,50.45,-10.40,51.77,104.80,31.56,69.3
OIH,1,FALSE,TRUE,FALSE,FALSE,FALSE,null,1,null,null,null,FALSE,null,TRUE,10,78.6,TRUE,6,TRUE,5,1854.53,700.11,1154.42,17,64.71,37.81,-10.14,40.52,56.80,23.31,79.0
ORAS,1,FALSE,FALSE,FALSE,TRUE,TRUE,null,null,null,1,1,FALSE,null,TRUE,12,61.8,TRUE,6,TRUE,5,1083.12,620.10,463.02,11,72.73,36.87,-10.29,47.77,45.33,29.74,115.7
ORHD,1,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,1,null,null,FALSE,null,TRUE,8,61.8,TRUE,6,FALSE,null,1871.67,528.53,1343.14,8,87.50,42.90,-16.64,52.99,57.01,41.40,172.9
ORWE,1,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,null,null,FALSE,null,TRUE,3,50,TRUE,3,TRUE,4,704.21,314.44,389.77,26,73.08,32.26,-7.62,23.20,37.08,9.41,51.5
PHDC,1,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,null,null,null,FALSE,null,TRUE,11,88.6,FALSE,null,TRUE,8,2849.91,783.06,2066.85,12,83.33,35.85,-12.51,50.65,66.87,37.22,103.2
RAYA,1,TRUE,FALSE,FALSE,TRUE,TRUE,1,null,null,1,1,FALSE,null,TRUE,9,78.6,TRUE,5,FALSE,null,5300.54,3059.04,2241.50,12,91.67,41.84,-17.69,72.16,82.86,52.56,114.0
RMDA,1,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,1,null,null,FALSE,null,TRUE,8,78.6,TRUE,4,TRUE,8,881.33,288.34,592.99,13,84.62,38.28,-11.69,32.57,41.28,19.99,88.4
TMGH,1,TRUE,FALSE,FALSE,TRUE,TRUE,1,null,null,1,1,FALSE,null,TRUE,12,61.8,FALSE,null,TRUE,5,2496.47,1101.23,1395.25,12,66.67,38.39,-10.37,64.26,63.68,44.01,122.6
VLMR,1,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,1,null,null,FALSE,null,TRUE,10,88.6,FALSE,null,TRUE,4,17.43,-39.60,57.03,18,33.33,38.48,-5.98,8.49,2.46,1.49,59.2
VLMRA,1,TRUE,FALSE,TRUE,FALSE,FALSE,1,null,1,null,null,FALSE,null,TRUE,11,88.6,TRUE,6,TRUE,4,220.59,87.69,132.90,12,50.00,41.65,-8.00,24.16,19.28,13.03,66.8
