ticker_id,Max Slots,L-14.6,L-23.6,L-38.2,L-50.0,L-61.8,Slots L-14.6,Slots L-23.6,Slots L-38.2,Slots L-50.0,Slots L-61.8,Use Smrt Index Exit,Exit Level,Use AYM,AYM TP Multiplier,AYM Limit,Use ATR,ATR Distance,Use Stoploss,Stoploss Level,Sys ROI,B&H ROI,ROI Margin,# of Trades,Win Rate,Max Drawdown,Avg. Adverse Excursion,Avg. Favorable Excursion,Annual CAGR,Avg. Return/Trade,Avg Bars/Trade,Model,OOS Margin,OOS Win Rate,OOS Trades
AALR,1,True,True,False,False,False,1.0,1.0,,,,False,,True,3.0,88.6,True,6.0,False,,109.32,37.44,71.88,7,100.00,91.28,-10.0,20.0,35.0,10.0,508.6,PSI-40,285.37708865534887,100,4
ABUK,1,True,False,True,True,True,1.0,,1.0,1.0,1.0,False,,True,4.0,88.6,True,3.0,False,,1141.85,1233.56,-91.71,22,100.00,67.07,-10.0,20.0,35.0,10.0,204.2,PSI-40,35.51026020816654,100,5
ACAMD,1,True,False,False,False,False,1.0,,,,,False,,True,9.0,88.6,True,4.0,False,,93.41,69.66,23.76,4,100.00,74.95,-10.0,20.0,35.0,10.0,359.8,PSI-40,101.71658189845473,100,3
ACAP,1,True,True,False,False,False,1.0,1.0,,,,False,,True,4.0,88.6,False,,False,,1136.22,831.90,304.32,3,100.00,23.88,-10.0,20.0,35.0,10.0,90.7,PSI-40,81.01727203065127,100,2
ACGC,1,False,False,False,True,False,,,,1.0,,False,,True,2.0,50,True,2.0,False,,23.28,40.56,-17.28,7,100.00,87.47,-10.0,20.0,35.0,10.0,639.7,PSI-40,27.08104584882276,100,8
ACTF,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,50,True,2.0,False,,18.33,-10.90,29.24,2,100.00,4.82,-10.0,20.0,35.0,10.0,15.0,PSI-40,5.555578947368421,0,1
ADCI,1,False,False,False,False,True,,,,,1.0,False,,True,2.0,78.6,True,5.0,False,,789.20,871.01,-81.81,12,100.00,87.44,-10.0,20.0,35.0,10.0,368.3,PSI-40,104.1672604385351,100,3
ADIB,1,False,True,False,False,False,,1.0,,,,False,,True,6.0,88.6,True,6.0,False,,2168.12,1167.91,1000.21,10,100.00,86.88,-10.0,20.0,35.0,10.0,448.6,PSI-40,39.706405948857395,100,3
ADPC,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,88.6,True,4.0,False,,73.84,37.37,36.47,11,100.00,90.09,-10.0,20.0,35.0,10.0,181.3,PSI-40,85.53816033755274,100,5
ADRI,1,False,True,False,False,False,,1.0,,,,False,,True,12.0,78.6,True,4.0,False,,-37.65,-10.22,-27.43,2,100.00,90.47,-10.0,20.0,35.0,10.0,1161.0,PSI-40,464.55177625570786,100,4
AFDI,1,True,False,False,True,False,1.0,,,1.0,,False,,True,2.0,50,True,2.0,False,,-13.88,66.12,-80.00,5,100.00,95.62,-10.0,20.0,35.0,10.0,905.4,PSI-40,39.00307519715656,100,8
AFMC,1,True,True,False,False,False,1.0,1.0,,,,False,,True,9.0,88.6,True,5.0,False,,529.45,1195.37,-665.92,8,100.00,85.65,-10.0,20.0,35.0,10.0,555.5,PSI-40,281.57025562601007,100,4
AIFI,1,True,False,False,False,True,1.0,,,,1.0,False,,True,7.0,78.6,True,6.0,False,,456.38,1700.37,-1243.99,6,100.00,87.30,-10.0,20.0,35.0,10.0,473.7,PSI-40,111.58681639207444,100,3
AIH,1,False,False,True,False,False,,,1.0,,,False,,True,2.0,50,True,2.0,False,,64.38,-63.13,127.52,8,100.00,92.53,-10.0,20.0,35.0,10.0,506.1,PSI-40,127.60150626779281,100,9
AJWA,1,True,False,False,False,True,1.0,,,,1.0,False,,True,4.0,78.6,True,4.0,False,,7617.24,1732.14,5885.10,9,100.00,92.03,-10.0,20.0,35.0,10.0,409.1,PSI-40,18.209145644882625,100,3
