ticker_id,Max Slots,L-14.6,L-23.6,L-38.2,L-50.0,L-61.8,Slots L-14.6,Slots L-23.6,Slots L-38.2,Slots L-50.0,Slots L-61.8,Use Smrt Index Exit,Exit Level,Use AYM,AYM TP Multiplier,AYM Limit,Use ATR,ATR Distance,Use Stoploss,Stoploss Level,Sys ROI,B&H ROI,ROI Margin,# of Trades,Win Rate,Max Drawdown,Avg. Adverse Excursion,Avg. Favorable Excursion,Annual CAGR,Avg. Return/Trade,Avg Bars/Trade,Model,OOS Margin,OOS Win Rate,OOS Trades
AALR,1,True,True,False,False,False,1.0,1.0,,,,False,,True,3.0,88.6,True,6.0,False,,109.32,37.44,71.88,7,100.00,91.28,-10.0,20.0,35.0,10.0,508.6,PSI-40,285.37708865534887,100,4
ABUK,1,False,True,True,False,False,,1.0,1.0,,,False,,True,2.0,88.6,True,3.0,False,,503.63,1233.56,-729.93,19,100.00,66.65,-10.0,20.0,35.0,10.0,214.3,PSI-8,40.21526020816651,100,3
ACAMD,1,True,False,False,False,False,1.0,,,,,False,,True,9.0,88.6,True,4.0,False,,93.41,69.66,23.76,4,100.00,74.95,-10.0,20.0,35.0,10.0,359.8,PSI-40,101.71658189845473,100,3
ACAP,1,False,False,True,False,False,,,1.0,,,False,,True,6.0,88.6,False,,False,,89.75,831.90,-742.15,1,0.00,15.59,-10.0,20.0,35.0,10.0,174.0,PSI-8,87.09293869731795,100,2
ACGC,1,False,False,False,True,False,,,,1.0,,False,,True,2.0,50,True,2.0,False,,23.28,40.56,-17.28,7,100.00,87.47,-10.0,20.0,35.0,10.0,639.7,PSI-40,27.08104584882276,100,8
ACTF,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,50,True,2.0,False,,18.33,-10.90,29.24,2,100.00,4.82,-10.0,20.0,35.0,10.0,15.0,PSI-40,5.555578947368421,0,1
ADCI,1,False,False,False,True,True,,,,1.0,1.0,False,,True,2.0,88.6,True,5.0,False,,898.04,871.01,27.03,13,100.00,87.71,-10.0,20.0,35.0,10.0,320.2,PSI-8,172.83542710520175,100,3
ADIB,1,True,False,False,False,True,1.0,,,,1.0,False,,True,10.0,88.6,True,6.0,False,,3858.46,1167.91,2690.55,9,100.00,80.99,-10.0,20.0,35.0,10.0,482.6,PSI-8,49.029106478857415,100,3
ADPC,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,88.6,True,4.0,False,,73.84,37.37,36.47,11,100.00,90.09,-10.0,20.0,35.0,10.0,181.3,PSI-40,85.53816033755274,100,5
ADRI,1,False,True,False,False,False,,1.0,,,,False,,True,12.0,78.6,True,4.0,False,,-37.65,-10.22,-27.43,2,100.00,90.47,-10.0,20.0,35.0,10.0,1161.0,PSI-40,464.55177625570786,100,4
